student_id,cumulative_gpa,academic_hours,training_hours,total_warnings_max,consecutive_warnings_max,military_education,graduation_status,year1_fall_gpa,year1_spring_gpa,year1_total_courses,year1_passed_courses,year1_failed_courses,year1_credits,year1_points,year1_avg_grade,year1_max_grade,year1_min_grade,year2_fall_gpa,year2_spring_gpa,year2_total_courses,year2_passed_courses,year2_failed_courses,year2_credits,year2_points,year2_avg_grade,year2_max_grade,year2_min_grade,year3_fall_gpa,year3_spring_gpa,year3_total_courses,year3_passed_courses,year3_failed_courses,year3_credits,year3_points,year3_avg_grade,year3_max_grade,year3_min_grade,year4_fall_gpa,year4_spring_gpa,year4_total_courses,year4_passed_courses,year4_failed_courses,year4_credits,year4_points,year4_avg_grade,year4_max_grade,year4_min_grade,total_courses,passed_courses,failed_courses,total_credits_all_years,total_points_all_years,avg_numeric_grade,highest_grade,lowest_grade,semester_gpa_count,overall_semester_gpa_avg,years_available,complete_four_year_record,promoted_to_year3
210142,2.09,55.0,70.0,1,0,,,2.15,1.79,13,12,1,35.0,68.8,1.938,2.6,0.0,2.07,,6,6,0,18.0,37.2,2.067,2.6,1.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,18,1,53.0,106.0,1.979,2.6,0.0,3,2.003,2,0,1
210174,2.17,55.0,110.0,0,0,,,2.21,2.3,13,13,0,35.0,79.0,2.3,3.4,1.0,2.0,,6,6,0,18.0,36.0,2.0,2.6,1.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,19,0,53.0,115.0,2.205,3.4,1.0,3,2.17,2,0,1
210294,1.96,49.0,110.0,3,0,,,1.74,1.7,11,10,1,32.0,55.1,1.755,3.2,0.0,2.0,,5,5,0,15.0,30.0,2.0,2.6,1.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,16,15,1,47.0,85.1,1.831,3.2,0.0,3,1.813,2,0,0
210389,2.73,55.0,40.0,0,0,,,2.49,3.11,13,13,0,35.0,98.3,2.862,3.7,1.0,2.65,,6,6,0,18.0,47.7,2.65,3.7,1.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,19,0,53.0,146.0,2.795,3.7,1.0,3,2.75,2,0,1
210430,2.73,55.0,110.0,0,0,,,2.55,3.19,13,13,0,35.0,100.7,2.908,4.0,1.5,2.57,,6,6,0,18.0,46.2,2.567,2.8,2.2,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,19,0,53.0,146.9,2.8,4.0,1.5,3,2.77,2,0,1
210464,1.83,52.0,110.0,3,0,,,1.75,1.94,11,11,0,32.0,58.8,1.827,3.7,1.0,1.84,,5,4,1,14.0,25.8,1.72,2.4,0.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,16,15,1,46.0,84.6,1.794,3.7,0.0,3,1.843,2,0,1
210474,2.11,52.0,70.0,1,0,,,1.96,2.19,13,12,1,35.0,72.9,2.092,3.7,0.0,2.17,,6,6,0,18.0,39.0,2.167,2.8,1.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,18,1,53.0,111.9,2.116,3.7,0.0,3,2.107,2,0,1
210520,2.33,60.0,110.0,0,0,,,2.21,2.9,13,13,0,35.0,89.8,2.577,4.0,1.5,1.92,,6,6,0,17.0,32.7,1.9,2.2,1.5,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,19,0,52.0,122.5,2.363,4.0,1.5,3,2.343,2,0,1
210621,2.1,55.0,110.0,1,0,,,2.0,1.96,13,11,2,35.0,69.3,1.946,3.7,0.0,1.77,,6,6,0,18.0,31.8,1.767,2.2,1.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,17,2,53.0,101.1,1.889,3.7,0.0,3,1.91,2,0,1
210651,2.02,53.0,110.0,1,0,,,2.3,1.69,13,12,1,35.0,69.6,1.969,3.2,0.0,2.1,,5,5,0,15.0,31.5,2.1,2.4,1.5,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,18,17,1,50.0,101.1,2.006,3.2,0.0,3,2.03,2,0,1
210668,2.67,34.0,70.0,1,0,,,1.46,2.6,12,9,3,31.0,61.2,2.142,3.7,0.0,2.5,,5,4,1,15.0,37.5,2.5,3.7,0.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,17,13,4,46.0,98.7,2.247,3.7,0.0,3,2.187,2,0,0
210723,2.03,47.0,70.0,1,0,,,2.01,1.53,13,11,2,35.0,61.7,1.769,3.0,0.0,2.36,,5,5,0,15.0,35.4,2.36,2.6,2.2,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,18,16,2,50.0,97.1,1.933,3.0,0.0,3,1.967,2,0,1
210749,2.54,58.0,110.0,0,0,,,2.32,2.83,13,13,0,35.0,90.4,2.623,4.0,2.0,2.32,,6,6,0,18.0,41.7,2.317,2.8,1.5,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,19,0,53.0,132.1,2.526,4.0,1.5,3,2.49,2,0,1
210758,1.8,55.0,0.0,3,0,,,,,0,0,0,0.0,0.0,,,,1.84,,5,5,0,15.0,27.6,1.84,2.2,1.5,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,5,5,0,15.0,27.6,1.84,2.2,1.5,1,1.84,1,0,1
210778,2.87,55.0,70.0,0,0,,,2.64,3.22,13,13,0,35.0,102.8,2.954,4.0,2.0,2.8,,6,6,0,18.0,50.4,2.8,3.2,2.4,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,19,0,53.0,153.2,2.905,4.0,2.0,3,2.887,2,0,1
210839,1.96,42.0,40.0,3,0,,,,,0,0,0,0.0,0.0,,,,1.9,,5,5,0,15.0,28.5,1.9,2.0,1.5,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,5,5,0,15.0,28.5,1.9,2.0,1.5,1,1.9,1,0,0
210890,1.07,13.0,0.0,1,0,,,,,0,0,0,0.0,0.0,,,,1.07,,7,5,2,18.0,19.3,1.129,2.4,0.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,7,5,2,18.0,19.3,1.129,2.4,0.0,1,1.07,1,0,1
210914,1.74,49.0,110.0,2,0,,,1.72,2.53,10,10,0,29.0,59.5,2.07,3.4,1.0,1.17,,6,5,1,18.0,21.0,1.167,2.0,0.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,16,15,1,47.0,80.5,1.731,3.4,0.0,3,1.807,2,0,1
210915,2.11,44.0,30.0,2,0,,,1.25,1.9,11,9,2,29.0,44.1,1.536,2.4,0.0,2.76,,5,5,0,15.0,41.4,2.76,3.0,2.4,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,16,14,2,44.0,85.5,1.919,3.0,0.0,3,1.97,2,0,0
210955,2.38,53.0,70.0,1,0,,,1.97,2.28,13,12,1,35.0,74.5,2.115,4.0,0.0,2.6,,6,6,0,18.0,46.8,2.6,3.2,2.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,18,1,53.0,121.3,2.268,4.0,0.0,3,2.283,2,0,1
210964,1.97,52.0,70.0,1,0,,,2.09,2.19,13,13,0,35.0,74.9,2.146,3.2,1.0,1.6,,6,5,1,18.0,28.8,1.6,2.2,0.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,18,1,53.0,103.7,1.974,3.2,0.0,3,1.96,2,0,1
211035,2.38,60.0,110.0,0,0,,,2.04,3.0,13,13,0,35.0,88.7,2.562,4.0,1.0,1.71,,6,6,0,17.0,29.0,1.667,2.6,1.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,19,0,52.0,117.7,2.279,4.0,1.0,3,2.25,2,0,1
211373,2.07,46.0,70.0,2,0,,,1.32,2.08,12,9,3,32.0,53.6,1.8,3.2,0.0,2.14,,5,5,0,15.0,32.1,2.14,2.8,1.5,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,17,14,3,47.0,85.7,1.9,3.2,0.0,3,1.847,2,0,1
211411,2.25,58.0,70.0,1,0,,,1.92,2.12,11,11,0,32.0,64.5,2.045,3.4,1.0,2.5,,6,6,0,18.0,45.0,2.5,3.0,2.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,17,17,0,50.0,109.5,2.206,3.4,1.0,3,2.18,2,0,1
211633,2.29,55.0,70.0,0,0,,,2.11,2.54,13,13,0,35.0,81.6,2.315,3.2,1.0,2.23,,6,6,0,18.0,40.2,2.233,2.8,1.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,19,0,53.0,121.8,2.289,3.2,1.0,3,2.293,2,0,1
211816,1.81,55.0,110.0,2,0,,,2.11,1.78,13,11,2,35.0,67.9,1.885,3.0,0.0,1.17,,6,5,1,18.0,21.0,1.167,2.0,0.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,16,3,53.0,88.9,1.658,3.0,0.0,3,1.687,2,0,1
211930,2.16,60.0,80.0,0,0,,,2.04,2.46,13,13,0,35.0,78.9,2.285,3.4,1.5,1.98,,6,6,0,17.0,33.6,1.95,3.0,1.5,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,19,0,52.0,112.5,2.179,3.4,1.5,3,2.16,2,0,1
211943,1.94,50.0,70.0,2,0,,,2.01,1.63,13,12,1,35.0,63.4,1.846,2.8,0.0,1.84,,5,5,0,15.0,27.6,1.84,2.2,1.5,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,18,17,1,50.0,91.0,1.844,2.8,0.0,3,1.827,2,0,1
212157,2.17,51.0,70.0,1,0,,,1.57,2.8,11,10,1,32.0,68.7,2.082,4.0,0.0,2.03,,6,6,0,17.0,34.5,2.05,2.8,1.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,17,16,1,49.0,103.2,2.071,4.0,0.0,3,2.133,2,0,1
212170,2.43,52.0,70.0,1,0,,,1.89,2.96,11,11,0,32.0,76.6,2.382,4.0,1.5,2.53,,6,6,0,18.0,45.6,2.533,3.0,2.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,17,17,0,50.0,122.2,2.435,4.0,1.5,3,2.46,2,0,1
212264,2.5,52.0,40.0,0,0,,,2.61,2.69,13,13,0,35.0,92.8,2.6,4.0,1.5,2.2,,6,6,0,17.0,37.4,2.233,3.0,1.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,19,0,52.0,130.2,2.484,4.0,1.0,3,2.5,2,0,1
212297,2.6,60.0,110.0,0,0,,,2.52,3.0,13,13,0,35.0,96.8,2.769,4.0,2.2,2.29,,6,6,0,17.0,39.0,2.25,2.8,1.5,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,19,0,52.0,135.8,2.605,4.0,1.5,3,2.603,2,0,1
212417,2.06,51.0,60.0,1,0,,,1.71,2.48,11,11,0,32.0,66.2,2.091,3.7,1.0,2.06,,6,6,0,17.0,35.0,2.067,2.6,1.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,17,17,0,49.0,101.2,2.082,3.7,1.0,3,2.083,2,0,1
212475,2.47,55.0,70.0,0,0,,,2.01,2.98,13,13,0,35.0,87.9,2.554,3.7,1.5,2.48,,6,6,0,18.0,44.7,2.483,3.0,1.5,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,19,0,53.0,132.6,2.532,3.7,1.5,3,2.49,2,0,1
212489,1.82,51.0,0.0,1,0,,,2.06,1.73,13,11,2,35.0,66.2,1.831,4.0,0.0,1.42,,6,6,0,18.0,25.5,1.417,2.0,1.0,,,0,0,0,0.0,0.0,,,,,,0,0,0,0.0,0.0,,,,19,17,2,53.0,91.7,1.7,4.0,0.0,3,1.737,2,0,1
