student_id,cumulative_gpa,academic_hours,training_hours,total_warnings_max,consecutive_warnings_max,military_education,year1_fall_gpa,year1_spring_gpa,year1_total_courses,year1_passed_courses,year1_failed_courses,year1_credits,year1_points,year1_avg_grade,year1_max_grade,year1_min_grade,year2_fall_gpa,year2_spring_gpa,year2_total_courses,year2_passed_courses,year2_failed_courses,year2_credits,year2_points,year2_avg_grade,year2_max_grade,year2_min_grade,year3_fall_gpa,year3_spring_gpa,year3_total_courses,year3_passed_courses,year3_failed_courses,year3_credits,year3_points,year3_avg_grade,year3_max_grade,year3_min_grade,year4_fall_gpa,year4_spring_gpa,year4_total_courses,year4_passed_courses,year4_failed_courses,year4_credits,year4_points,year4_avg_grade,year4_max_grade,year4_min_grade,total_courses,passed_courses,failed_courses,total_credits_all_years,total_points_all_years,avg_numeric_grade,highest_grade,lowest_grade,semester_gpa_count,overall_semester_gpa_avg,years_available,complete_four_year_record,graduation_status,at_risk
210142,2.46,135.0,130.0,1,1,اجتاز,2.15,1.79,13,12,1,35.0,68.8,1.938,2.6,0.0,2.07,,6,6,0,18.0,37.2,2.067,2.6,1.0,2.44,2.67,12,12,0,36.0,91.9,2.558,3.4,1.0,3.15,2.97,10,10,0,29.0,89.3,3.07,4.0,2.4,41,40,1,118.0,287.2,2.415,4.0,0.0,7,2.463,4,1,graduate,1
210294,2.87,135.0,240.0,3,3,اجتاز,1.74,1.7,11,10,1,32.0,55.1,1.755,3.2,0.0,2.0,,5,5,0,15.0,30.0,2.0,2.6,1.0,,,0,0,0,0.0,0.0,,,,3.4,3.38,12,12,0,36.0,122.1,3.392,4.0,2.6,28,27,1,83.0,207.2,2.5,4.0,0.0,5,2.444,3,0,graduate,1
210389,3.19,135.0,100.0,0,0,لم يجتاز,2.49,3.11,13,13,0,35.0,98.3,2.862,3.7,1.0,2.65,,6,6,0,18.0,47.7,2.65,3.7,1.0,3.63,3.17,13,13,0,39.0,131.9,3.385,4.0,2.2,3.4,3.6,8,8,0,23.0,83.2,3.6,4.0,3.2,40,40,0,115.0,361.1,3.147,4.0,1.0,7,3.15,4,1,level4_non_graduate,0
210430,2.8,135.0,170.0,0,0,اجتاز,2.55,3.19,13,13,0,35.0,100.7,2.908,4.0,1.5,2.57,,6,6,0,18.0,46.2,2.567,2.8,2.2,3.03,2.45,11,11,0,33.0,91.4,2.773,3.7,1.5,2.2,2.81,11,10,1,29.0,81.4,2.564,4.0,0.0,41,40,1,115.0,319.7,2.729,4.0,0.0,7,2.686,4,1,graduate,0
210464,2.64,135.0,200.0,3,3,اجتاز,1.75,1.94,11,11,0,32.0,58.8,1.827,3.7,1.0,1.84,,5,4,1,14.0,25.8,1.72,2.4,0.0,2.73,2.93,12,12,0,36.0,101.9,2.833,3.4,2.2,3.03,2.95,10,10,0,30.0,90.0,3.0,4.0,2.0,38,37,1,112.0,276.5,2.439,4.0,0.0,7,2.453,4,1,graduate,1
210474,2.47,135.0,240.0,1,1,اجتاز,1.96,2.19,13,12,1,35.0,72.9,2.092,3.7,0.0,2.17,,6,6,0,18.0,39.0,2.167,2.8,1.0,2.33,1.58,12,11,1,36.0,70.3,1.958,3.7,0.0,2.93,2.88,11,11,0,32.0,93.1,2.918,3.7,2.2,42,40,2,121.0,275.3,2.281,3.7,0.0,7,2.291,4,1,graduate,1
210520,2.69,135.0,240.0,0,0,,2.21,2.9,13,13,0,35.0,89.8,2.577,4.0,1.5,1.92,,6,6,0,17.0,32.7,1.9,2.2,1.5,2.33,3.2,12,11,1,36.0,99.6,2.767,3.4,0.0,3.32,2.97,8,8,0,24.0,75.6,3.15,4.0,2.4,39,38,1,112.0,297.7,2.649,4.0,0.0,7,2.693,4,1,graduate,0
210621,2.33,135.0,240.0,1,0,اجتاز,2.0,1.96,13,11,2,35.0,69.3,1.946,3.7,0.0,1.77,,6,6,0,18.0,31.8,1.767,2.2,1.0,2.46,1.95,12,12,0,36.0,79.3,2.208,3.4,1.5,2.57,3.0,10,7,0,29.0,79.8,2.629,4.0,2.0,41,36,2,118.0,260.2,2.126,4.0,0.0,7,2.244,4,1,graduate,1
210651,2.31,135.0,240.0,1,1,اجتاز,2.3,1.69,13,12,1,35.0,69.6,1.969,3.2,0.0,2.1,,5,5,0,15.0,31.5,2.1,2.4,1.5,2.62,2.22,12,12,0,36.0,87.1,2.433,3.2,1.0,2.68,2.2,9,9,0,26.0,67.4,2.578,3.4,2.0,39,38,1,112.0,255.6,2.269,3.4,0.0,7,2.259,4,1,graduate,1
210668,3.38,135.0,70.0,1,1,اجتاز,1.46,2.6,12,9,3,31.0,61.2,2.142,3.7,0.0,2.5,,5,4,1,15.0,37.5,2.5,3.7,0.0,,,0,0,0,0.0,0.0,,,,3.22,3.52,12,12,0,35.0,117.2,3.35,4.0,2.2,29,25,4,81.0,215.9,2.703,4.0,0.0,5,2.66,3,0,graduate,1
