student_id,cumulative_gpa,academic_hours,training_hours,total_warnings_max,consecutive_warnings_max,military_education,graduation_status,year1_fall_gpa,year1_spring_gpa,year1_total_courses,year1_passed_courses,year1_failed_courses,year1_credits,year1_points,year1_avg_grade,year1_max_grade,year1_min_grade,year2_fall_gpa,year2_spring_gpa,year2_total_courses,year2_passed_courses,year2_failed_courses,year2_credits,year2_points,year2_avg_grade,year2_max_grade,year2_min_grade,year3_fall_gpa,year3_spring_gpa,year3_total_courses,year3_passed_courses,year3_failed_courses,year3_credits,year3_points,year3_avg_grade,year3_max_grade,year3_min_grade,year4_fall_gpa,year4_spring_gpa,year4_total_courses,year4_passed_courses,year4_failed_courses,year4_credits,year4_points,year4_avg_grade,year4_max_grade,year4_min_grade,total_courses,passed_courses,failed_courses,total_credits_all_years,total_points_all_years,avg_numeric_grade,highest_grade,lowest_grade,semester_gpa_count,overall_semester_gpa_avg,years_available,complete_four_year_record,delayed_progression
210142,2.29,106.0,130.0,1,0,,,2.15,1.79,13,12,1,35.0,68.8,1.938,2.6,0.0,2.07,,6,6,0,18.0,37.2,2.067,2.6,1.0,2.44,2.67,12,12,0,36.0,91.9,2.558,3.4,1.0,,,0,0,0,0.0,0.0,,,,31,30,1,89.0,197.9,2.203,3.4,0.0,5,2.224,3,0,0.0
210174,1.81,85.0,110.0,3,3,,,2.21,2.3,13,13,0,35.0,79.0,2.3,3.4,1.0,2.0,,6,6,0,18.0,36.0,2.0,2.6,1.0,1.36,1.1,10,7,3,30.0,36.9,1.23,2.8,0.0,,,0,0,0,0.0,0.0,,,,29,26,3,83.0,151.9,1.869,3.4,0.0,5,1.794,3,0,1.0
210389,3.09,109.0,100.0,0,0,,,2.49,3.11,13,13,0,35.0,98.3,2.862,3.7,1.0,2.65,,6,6,0,18.0,47.7,2.65,3.7,1.0,3.63,3.17,13,13,0,39.0,131.9,3.385,4.0,2.2,,,0,0,0,0.0,0.0,,,,32,32,0,92.0,277.9,3.034,4.0,1.0,5,3.01,3,0,0.0
210430,2.78,103.0,170.0,0,0,,,2.55,3.19,13,13,0,35.0,100.7,2.908,4.0,1.5,2.57,,6,6,0,18.0,46.2,2.567,2.8,2.2,3.03,2.45,11,11,0,33.0,91.4,2.773,3.7,1.5,,,0,0,0,0.0,0.0,,,,30,30,0,86.0,238.3,2.79,4.0,1.5,5,2.758,3,0,0.0
210464,2.45,100.0,200.0,3,0,,,1.75,1.94,11,11,0,32.0,58.8,1.827,3.7,1.0,1.84,,5,4,1,14.0,25.8,1.72,2.4,0.0,2.73,2.93,12,12,0,36.0,101.9,2.833,3.4,2.2,,,0,0,0,0.0,0.0,,,,28,27,1,82.0,186.5,2.239,3.7,0.0,5,2.238,3,0,0.0
210474,2.24,100.0,100.0,1,0,,,1.96,2.19,13,12,1,35.0,72.9,2.092,3.7,0.0,2.17,,6,6,0,18.0,39.0,2.167,2.8,1.0,2.33,1.58,12,11,1,36.0,70.3,1.958,3.7,0.0,,,0,0,0,0.0,0.0,,,,31,29,2,89.0,182.2,2.055,3.7,0.0,5,2.046,3,0,0.0
210520,2.5,108.0,200.0,0,0,,,2.21,2.9,13,13,0,35.0,89.8,2.577,4.0,1.5,1.92,,6,6,0,17.0,32.7,1.9,2.2,1.5,2.33,3.2,12,11,1,36.0,99.6,2.767,3.4,0.0,,,0,0,0,0.0,0.0,,,,31,30,1,88.0,222.1,2.519,4.0,0.0,5,2.512,3,0,0.0
210621,2.16,106.0,170.0,1,0,,,2.0,1.96,13,11,2,35.0,69.3,1.946,3.7,0.0,1.77,,6,6,0,18.0,31.8,1.767,2.2,1.0,2.46,1.95,12,12,0,36.0,79.3,2.208,3.4,1.5,,,0,0,0,0.0,0.0,,,,31,29,2,89.0,180.4,2.013,3.7,0.0,5,2.028,3,0,0.0
210651,2.21,104.0,170.0,1,0,,,2.3,1.69,13,12,1,35.0,69.6,1.969,3.2,0.0,2.1,,5,5,0,15.0,31.5,2.1,2.4,1.5,2.62,2.22,12,12,0,36.0,87.1,2.433,3.2,1.0,,,0,0,0,0.0,0.0,,,,30,29,1,86.0,188.2,2.177,3.2,0.0,5,2.186,3,0,0.0
210723,2.25,95.0,100.0,1,0,,,2.01,1.53,13,11,2,35.0,61.7,1.769,3.0,0.0,2.36,,5,5,0,15.0,35.4,2.36,2.6,2.2,2.76,2.29,12,11,1,36.0,90.9,2.533,3.2,0.0,,,0,0,0,0.0,0.0,,,,30,27,3,86.0,188.0,2.173,3.2,0.0,5,2.19,3,0,0.0
210749,2.53,106.0,140.0,0,0,,,2.32,2.83,13,13,0,35.0,90.4,2.623,4.0,2.0,2.32,,6,6,0,18.0,41.7,2.317,2.8,1.5,2.63,2.04,12,11,1,36.0,84.2,2.342,3.4,0.0,,,0,0,0,0.0,0.0,,,,31,30,1,89.0,216.3,2.455,4.0,0.0,5,2.428,3,0,0.0
210758,2.6,97.0,60.0,3,0,,,,,0,0,0,0.0,0.0,,,,1.84,,5,5,0,15.0,27.6,1.84,2.2,1.5,3.32,2.98,12,12,0,36.0,113.4,3.15,3.7,2.2,,,0,0,0,0.0,0.0,,,,17,17,0,51.0,141.0,2.765,3.7,1.5,3,2.713,2,0,0.0
210778,3.08,109.0,160.0,0,0,,,2.64,3.22,13,13,0,35.0,102.8,2.954,4.0,2.0,2.8,,6,6,0,18.0,50.4,2.8,3.2,2.4,3.28,3.28,13,13,0,39.0,127.9,3.285,3.7,2.6,,,0,0,0,0.0,0.0,,,,32,32,0,92.0,281.1,3.059,4.0,2.0,5,3.044,3,0,0.0
210890,2.16,97.0,0.0,1,0,,,,,0,0,0,0.0,0.0,,,,1.07,,7,5,2,18.0,19.3,1.129,2.4,0.0,2.34,2.11,12,10,2,35.0,78.0,2.233,3.7,0.0,,,0,0,0,0.0,0.0,,,,19,15,4,53.0,97.3,1.826,3.7,0.0,3,1.84,2,0,0.0
210914,2.19,99.0,170.0,3,0,,,1.72,2.53,10,10,0,29.0,59.5,2.07,3.4,1.0,1.17,,6,5,1,18.0,21.0,1.167,2.0,0.0,2.4,2.13,12,11,1,36.0,81.5,2.267,3.0,0.0,,,0,0,0,0.0,0.0,,,,28,26,2,83.0,162.0,1.961,3.4,0.0,5,1.99,3,0,0.0
